Elements Clean Sheets Per 90,Elements Saves,Elements Transfers In Event,Elements Form Rank,Elements Transfers Out Event,Elements Assists,Elements Expected Goals Conceded Per 90,Elements Saves Per 90,Elements Goals Conceded Per 90,Elements Expected Assists Per 90,Elements Yellow Cards,Elements Event Points
0.19,2.0,23890.399999999987,460.0,17274.99999999997,5.0,1.22,4.0,1.33,0.14,7.0,1.0
0.19,2.0,23890.399999999987,483.0,29.0,5.0,1.22,4.0,1.33,0.14,7.0,1.0
0.13,2.0,1555.0,93.0,1916.0,4.0,1.18,4.0,1.41,0.19,4.0,2.0
0.33,2.0,16988.0,39.45,17274.99999999997,5.0,1.22,4.0,1.59,0.08,4.0,1.0
0.5,2.0,1132.0,371.0,718.0,5.0,1.56,4.0,0.7445,0.02,1.0,1.0
0.17,2.0,435.0,281.0,2070.0,5.0,1.48,4.0,1.75,0.02,4.0,1.0
0.46,2.0,23890.399999999987,731.55,2113.0,1.0,1.37,4.0,0.83,0.13,2.0,1.0
0.46,2.0,441.0,326.0,264.0,1.0,1.15,4.0,1.81,0.03,2.0,1.0
0.46,2.0,61.0,482.0,148.0,1.0,1.15,4.0,1.81,0.03,2.0,1.0
0.46,2.0,72.0,484.0,439.0,1.0,1.15,4.0,1.81,0.03,2.0,1.0
0.46,2.0,286.0,639.0,492.0,1.0,1.15,4.0,1.81,0.03,2.0,1.0
0.46,2.0,30.0,655.0,31.0,1.0,1.15,4.0,1.81,0.03,2.0,1.0
0.46,2.0,21.0,649.0,24.0,1.0,1.15,4.0,1.81,0.03,2.0,1.0
0.46,2.0,1182.0,321.0,797.0,1.0,0.82,4.0,2.57,0.01,2.0,1.0
0.46,2.0,284.0,339.0,95.0,1.0,2.88,4.0,2.0,0.02,2.0,1.0
0.46,2.0,2005.0,175.0,2267.0,1.0,2.88,4.0,2.0,0.02,2.0,1.0
0.46,2.0,1973.0,731.55,40.0,1.0,2.88,4.0,2.0,0.02,2.0,1.0
0.54,2.0,1973.0,539.0,312.0,1.0,0.82,4.0,2.0,0.01,2.0,1.0
0.31,2.0,982.0,51.0,364.0,3.0,1.46,4.0,1.46,0.02,4.0,2.0
0.31,2.0,982.0,600.0,54.0,3.0,1.46,4.0,1.46,0.02,4.0,2.0
0.16,2.0,293.0,165.0,140.0,1.0,1.58,4.0,1.12,0.22,3.0,2.0
0.41,2.0,312.0,166.0,473.0,2.0,1.28,4.0,1.13,0.11,7.0,1.0
0.19,2.0,362.0,186.0,339.0,3.0,1.35,4.0,1.21,0.13,5.0,2.0
0.54,2.0,20.0,731.55,451.0,1.0,1.74,4.0,0.82,0.07,2.0,2.0
0.54,2.0,20.0,717.0,451.0,1.0,1.74,4.0,0.82,0.07,2.0,2.0
0.54,2.0,20.0,598.0,23.0,1.0,1.74,4.0,0.82,0.07,2.0,2.0
0.51,2.0,126.0,358.0,2204.0,1.0,1.49,4.0,1.53,0.1,2.0,2.0
0.51,2.0,4095.0,301.0,2028.0,1.0,2.34,4.0,1.7,0.2,1.0,1.0
0.26,2.0,23890.399999999987,75.0,7721.0,3.0,1.34,4.0,1.21,0.08,3.0,1.0
0.54,2.0,23890.399999999987,39.45,10429.0,4.0,1.24,4.0,1.06,0.11,6.0,2.0
0.54,2.0,23890.399999999987,554.0,9.0,4.0,1.24,4.0,1.06,0.11,6.0,2.0
0.36,2.0,23890.399999999987,39.45,5508.0,4.0,1.42,4.0,0.87,0.17,1.0,2.0
0.36,2.0,23890.399999999987,474.0,16.0,4.0,1.42,4.0,0.87,0.17,1.0,2.0
0.36,2.0,23890.399999999987,680.0,74.0,4.0,1.71,4.0,2.05,0.29549999999999954,1.0,2.0
0.35,2.0,11.0,679.0,19.0,4.0,1.28,4.0,1.05,0.06,1.0,2.0
0.31,2.0,23890.399999999987,39.45,10082.0,4.0,1.29,4.0,1.12,0.14,5.0,2.0
0.1,2.0,15.0,668.0,298.0,4.0,1.18,4.0,1.47,0.04,4.0,2.0
0.1,2.0,18.0,685.0,80.0,1.0,1.54,4.0,1.33,0.29549999999999954,4.0,2.0
0.26,2.0,11.0,548.0,210.0,1.0,1.09,4.0,1.13,0.01,4.0,2.0
0.23,2.0,829.0,190.0,246.0,6.0,1.12,4.0,1.31,0.17,2.0,1.0
0.2,20.0,113.0,297.0,623.0,6.0,1.47,4.0,1.0,0.17,2.0,1.0
0.25,20.0,3229.0,159.0,872.0,6.0,1.31,4.0,1.17,0.02,3.0,1.0
0.29,62.0,23890.399999999987,111.0,2869.0,6.0,1.25,3.65,1.24,0.02,2.0,2.0
0.36,62.0,19747.0,182.0,6567.0,6.0,1.45,3.65,0.94,0.06,5.0,2.0
0.36,62.0,11.0,541.0,75.0,6.0,1.78,3.65,1.79,0.01,1.0,2.0
0.36,62.0,112.0,463.0,257.0,6.0,1.78,3.65,1.79,0.01,1.0,2.0
0.53,62.0,102.0,731.55,3901.0,4.0,1.11,3.65,1.18,0.09,1.0,2.0
